,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
ABCC9_10060.,-0.091974961,0.042333652,0.207334348,-0.068905363,-0.153762409,0.007228943,0.008797815,-0.016481799,0.098902799,0.012461716,0.044094854,0.011495005,0.017808988,-0.059001521
ABCD2_225.,0.006053801,-0.136533415,0.133107161,0.030368537,-0.019389255,0.042949665,0.017038938,0.072923595,0.148793324,-0.015103992,0.002315662,-0.073825563,0.047268757,0.103931806
ABCD3_5825.,-0.054801931,-0.094588147,-0.066073296,-0.137161074,-0.152019752,0.015722288,-0.048929041,-0.114894745,-0.231023093,-0.132559259,-0.038540533,-0.132652362,-0.201787485,-0.082274207
ABCD4_5826.,-0.196816628,-0.106116007,-0.208084154,-0.133331686,-0.05697617,-0.196546916,-0.097236022,-0.037663868,-0.122221431,-0.440587265,-0.50271588,-0.210787942,-0.150203986,-0.16600624
ABCE1_6059.,-0.906108271,-0.94820089,-0.340634908,-1.063920966,-1.040562241,-0.762677649,-0.968316763,-1.08456697,-0.729000562,-1.248729321,-0.965641249,-1.21475783,-0.77185664,-0.797777474
ABCF1_23.,-0.512109967,-0.928079728,-0.597779218,-0.625142471,-0.841384646,-0.955372107,-0.732684527,-0.642284483,-0.656305702,-0.684172266,-0.650367808,-0.558474903,-0.911849112,-0.834723379
ABCF2_10061.,-0.01960058,-0.055278242,-0.240117775,0.043830878,-0.162407605,-0.165874964,-0.090030595,-0.10059743,-0.038626024,0.034276291,0.030203544,-0.060467892,-0.191442626,-0.405982861
ABCF3_55324.,0.066064486,-0.059073281,-0.187901642,0.036704342,0.144333003,0.013089892,0.001831678,0.161135342,0.010576357,0.061453249,0.060004644,0.046048223,-0.217142451,-0.083953736
ABCG1_9619.,-0.488836912,-0.469447838,-0.570554627,-0.434245403,-0.430058925,-0.63419952,-0.495486428,-0.460746533,-0.78703061,-0.352601263,-0.271366647,-0.35367527,-0.257548549,-0.706796026
ABCG2_9429.,0.224041014,0.065212592,0.067143511,0.15883664,0.320107308,0.089083366,0.137061583,0.088054849,0.224695762,0.093271204,0.131399367,-0.002861152,0.139281626,0.175769185
